"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2000",33.595867770832,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2001",37.3687292014822,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2002",44.3726470145656,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2003",52.3758635705696,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2004",55.6468976369558,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2005",56.6647093420831,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2006",60.5793697475724,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2007",66.96026620337,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2008",69.6026619787003,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2009",72.4212174665526,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2010",80.8768839401096,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2011",79.1348600623918,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2012",78.88040713486,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2013",84.1064787705133,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2014",91.720493258965,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2016",105.500097863188,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2017",114.308083789289,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2018",112.663926414083,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2019",108.083773764124,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2000",58.5838607572212,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2001",59.0818235759494,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2002",59.4186807753165,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2003",59.579786392405,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2004",58.4374011075949,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2005",61.3519481803797,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2006",63.871054193038,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2007",66.8588310917721,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2008",67.576483386076,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2009",70.2127571202531,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2010",76.7975,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2011",81.5975,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2012",87.57,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2013",92.1,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2014",95.33,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2016",108.5325,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2017",114.2588,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2018",119.64,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2019",126.59999999694,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2000",50.1144357638266,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2001",52.5419853299417,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2002",55.9050385372971,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2003",59.7605584364211,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2004",64.9525121087456,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2005",72.5361832041196,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2006",79.6153750980577,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2007",85.8185760371272,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2008",89.6052178815592,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2009",89.1830343041225,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2010",91.9777099212033,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2011",95.6758325156486,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2012",97.8135192328279,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2013",98.9619326726557,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2014",98.4170000052374,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2016",102.640656934604,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2017",106.373012009044,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2018",109.415295958587,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2019",113.780903482821,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2000",40.0674256447637,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2001",41.961673844029,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2002",45.3439858818564,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2003",49.1252889327949,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2004",53.1588387059647,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2005",57.4072297938865,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2006",64.1224595494087,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2007",71.5320871258261,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2008",75.4371157553492,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2009",73.3337809194056,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2010",79.8629427505443,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2011",83.829354612854,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2012",87.8643430555421,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2013",90.1249724255009,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2014",94.8840911924653,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2016",109.947920163433,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2017",123.258970104447,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2018",128.243000872793,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2019",129.74401274167,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2008",100.800000001019,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2009",96.925,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2010",95.2249999999999,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2011",95.2499999999999,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2012",93.8499999999999,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2013",93.8749999999999,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2014",96.1749999999999,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2016",107.15,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2017",119.7,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2018",130,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2019",141.900000000263,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2000",56.7421532364597,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2001",60.057929326288,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2002",62.2268956406869,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2003",64.1964167767503,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2004",69.930465653897,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2005",82.925,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2006",102.8925,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2007",105.645,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2008",100.1875,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2009",88.1875,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2010",90.6574999999999,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2011",89.1225,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2012",86.7125,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2013",90.09,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2014",93.4875,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2016",105.215,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2017",109.9975,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2018",114.8075,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2019",117.160000002738,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2000",58.7840917788858,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2001",57.9469645878724,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2002",61.4277507861721,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2003",65.3223763858983,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2004",70.6531569860088,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2005",76.2519062976574,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2006",81.5570389259731,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2007",86.3671591789794,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2008",87.0621765544138,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2009",88.3147078676966,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2010",93.884847121178,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2011",96.8674216855421,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2012",99.2074801870045,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2013",100.355008875222,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2014",99.9974999374984,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2016",100.442511062777,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2017",102.012550313758,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2018",102.885072126803,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2019",104.012600314857,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2000",49.1,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2001",52.975,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2002",57.55,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2003",64.4,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2004",74.075,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2005",85.525,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2006",95.825,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2007",102.075,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2008",103.025,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2009",95.7,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2010",100.575,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2011",106.55,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2012",105.975,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2013",103.8,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2014",101.925,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2016",100.925,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2017",103.975,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2018",107.15,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2019",110.65,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2000",84.3710927731933,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2001",84.4211052763191,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2002",83.3208302075519,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2003",83.6459114778694,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2004",82.3205801450362,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2005",83.3458364591148,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2006",83.0207551887972,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2007",81.2453113278319,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2008",82.3455863965991,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2009",83.0207551887972,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2010",83.8709677419355,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2011",86.7966991747937,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2012",89.7724431107776,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2013",92.5981495373843,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2014",95.4988747186796,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2016",107.52688172043,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2017",114.10352588147,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2018",121.680420105026,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2019",128.082020501903,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2000",88.851879486951,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2001",101.647960562211,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2002",115.732449354747,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2003",121.972543503655,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2004",124.796164653161,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2005",138.391754600782,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2006",156.359745697637,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2007",166.037798345944,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2008",168.464175920519,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2009",161.222116721786,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2010",154.17035814802,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2011",145.662666749509,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2012",128.533147127507,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2013",114.501116529962,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2014",105.365878731561,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2016",97.5884823129221,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2017",96.5130754981103,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2018",98.2905692027992,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2019",105.665661956375,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2007",98.9099999996167,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2008",101.2575,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2009",95.9525,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2010",93.66,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2011",90.4475,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2012",87.0975,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2013",84.87,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2014",88.4275000000001,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2016",113.3775,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2017",127.24,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2018",145.495,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2019",166.967500010746,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2005",60.6000000005508,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2006",70.7925,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2007",77.4425,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2008",82.2575,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2009",74.2775,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2010",72.0225,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2011",75.3575,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2012",80.5650000000001,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2013",85.2075,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2014",92.385,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2016",109.77,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2017",131.2,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2018",142.01,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2019",148.294999998372,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2000",79.5350295435364,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2001",89.3885494028045,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2002",95.6258908504966,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2003",109.224915392944,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2004",121.417759885171,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2005",131.881702957426,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2006",151.498712532187,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2007",162.800929976751,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2008",151.501212469688,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2009",122.484437889053,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2010",105.954851128722,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2011",87.8603034924126,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2012",76.0355991100222,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2013",76.9830754231144,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2014",89.7177570560735,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2016",107.459813504662,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2017",119.174520636984,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2018",131.349216269593,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2019",134.414139645616,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2000",70.0132294702984,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2001",75.7549080309578,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2002",83.0117639963814,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2003",91.5445974469794,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2004",100.636689114484,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2005",108.225783495829,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2006",115.191197105237,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2007",121.130252286662,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2008",123.17709920595,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2009",118.646535330184,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2010",118.1,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2011",119.7,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2012",116.65,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2013",109.1,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2014",103.95,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2016",100.25,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2017",99.1749999999999,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2018",98.6249999999999,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2019",98.5499999996743,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2000",136.115295666443,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2001",130.117398713291,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2002",123.175101285608,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2003",115.554314123065,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2004",108.507083309323,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2005",103.221063986596,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2006",100.145800320159,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2007",99.1465483029145,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2008",99.8075995620011,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2009",94.0158031148504,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2010",95.3711505773843,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2011",95.4442836948861,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2012",94.5976883598649,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2013",96.1485874199037,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2014",97.6446366399411,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2016",102.219431152556,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2017",104.828375652621,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2018",106.878487727672,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2019",108.654350631694,
